Country,MeanScore,Volatility,Trend,Cluster
Montenegro,33.43666666666667,1.135022026217993,1.3599999999999994,1
Morocco,41.882222222222225,2.0016416873267926,4.899999999999999,1
Mozambique,31.278888888888886,2.310283772853696,7.379999999999999,1
Myanmar,43.833333333333336,1.7403160632482828,1.4299999999999997,1
Namibia,16.432222222222222,3.3173512693780927,7.219999999999999,1
Nepal,33.809999999999995,1.3692424913067809,0.00999999999999801,1
Netherlands,8.94111111111111,1.604785378519854,3.1899999999999995,1
New Zealand,10.675555555555555,1.9560234604364486,1.6599999999999984,1
Nicaragua,31.723333333333333,4.3614619108734605,11.669999999999998,0
Niger,26.188888888888886,2.387679021793155,5.360000000000003,1
Nigeria,36.36222222222222,2.200970114391478,5.579999999999998,1
North Korea,84.13555555555556,2.2465090201861577,-2.6200000000000045,3
North Macedonia,33.98111111111111,2.214883994955743,-2.6000000000000014,1
Northern Cyprus,29.5,0.46978718586185453,0.4800000000000004,1
Norway,7.4655555555555555,0.7491680570991915,0.20000000000000018,1
Oman,41.215555555555554,1.8477967360556107,1.8599999999999994,1
Pakistan,47.416666666666664,3.1781716442004835,-4.450000000000003,3
Palestine,42.77222222222222,1.410352595787466,0.0899999999999963,1
Panama,30.54444444444444,1.2435645450790953,-3.0100000000000016,1
Papua New Guinea,24.764444444444443,1.1222979897414849,1.9100000000000001,1
Paraguay,32.75666666666667,1.8607592536381485,4.740000000000002,1
Peru,30.987777777777776,0.7034873449071026,-0.16000000000000014,1
Philippines,43.261111111111106,1.4959482314275163,2.530000000000001,1
Poland,22.242222222222225,7.650574778697639,15.73,0
Portugal,14.818888888888889,2.7541988147392558,-6.640000000000001,1
Qatar,38.45666666666667,3.8581601832998067,9.740000000000002,0
Romania,24.48,0.9742048039298513,1.8599999999999994,1
Russia,47.50555555555556,2.9346427001898814,5.289999999999999,0
Rwanda,53.73888888888889,2.327501044277125,-4.800000000000004,3
Samoa,19.535555555555554,2.60417506665312,-4.600000000000001,1
Saudi Arabia,61.57888888888888,3.2260480639803077,5.849999999999994,3
Senegal,26.22,1.2505498790532108,-0.9700000000000024,1
Serbia,28.817777777777778,2.4213621051888223,5.440000000000001,1
Seychelles,29.753333333333337,1.8520664134960172,-3.530000000000001,1
Sierra Leone,29.327777777777776,1.397603106909984,3.259999999999998,1
Singapore,50.04888888888889,4.4729672602324175,11.770000000000003,0
Slovakia,17.177777777777777,5.151295414208395,9.77,0
Slovenia,21.68,1.0034191546906008,2.610000000000003,1
Somalia,64.62111111111112,7.417175076207323,-18.120000000000005,2
South Africa,22.047777777777778,1.3443379204814703,-2.969999999999999,1
South Korea,25.384444444444444,1.8636463660731832,-1.0500000000000007,1
South Sudan,42.90222222222222,4.759279824137725,9.579999999999998,0
Spain,20.53222222222222,1.0548670269017062,-0.05999999999999872,1
Sri Lanka,47.824444444444445,8.333185332019069,-14.39,2
Sudan,68.02333333333334,7.959243054461898,-17.130000000000003,2
Suriname,17.18111111111111,0.8592357715499912,-1.240000000000002,1
Sweden,9.043333333333333,1.4138334413925846,-1.9900000000000002,1
Switzerland,11.234444444444444,1.2008862468101535,0.6100000000000012,1
Syria,76.65555555555555,4.074616887239562,-7.900000000000006,3
Taiwan,24.130000000000003,0.5388181511419227,0.03999999999999915,1
Tajikistan,46.92333333333333,8.762743577213705,19.810000000000002,0
Tanzania,32.21111111111111,5.425139271125777,13.349999999999998,0
Thailand,42.71111111111111,2.949840861997664,6.619999999999997,0
Togo,29.53888888888889,0.8033903852493568,1.1400000000000006,1
Tonga,25.103333333333335,1.8851657752038682,-2.1099999999999994,1
Trinidad and Tobago,22.77777777777778,1.172153763140503,-1.5700000000000003,1
Tunisia,33.40222222222222,4.391459830676409,-10.399999999999999,2
Turkey,49.605555555555554,3.3772107985403856,3.229999999999997,3
Turkmenistan,82.61333333333333,2.419628070592673,0.8900000000000006,3
Uganda,35.94222222222223,3.876863351273092,9.499999999999996,0
Ukraine,34.22666666666667,2.6792442964388288,-3.8299999999999983,1
United Arab Emirates,39.18666666666667,3.621028859316087,9.64,0
United Kingdom,21.197777777777777,1.9815068620735183,4.699999999999999,1
United States,23.29888888888889,2.081570587587919,5.710000000000001,1
Uruguay,16.115555555555556,0.5409739159865082,0.4599999999999991,1
Uzbekistan,58.663333333333334,5.018899281715065,-9.649999999999999,2
Venezuela,42.946666666666665,5.183386923624362,13.160000000000004,0
Vietnam,74.23888888888888,1.9817570767152894,6.679999999999993,3
Yemen,64.46666666666667,3.509700841952207,-6.869999999999997,3
Zambia,34.63111111111111,3.2521087176032597,10.280000000000001,0
Zimbabwe,40.57555555555555,1.5810448373710888,5.0,1
